id,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,attack_type,attack_category,severity,timestamp,data_source,is_synthetic
NET-001471,88.11,UDP,imap,REJ,34057,56859,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,8,10,0.0581,0.0041,0.0641,0.0358,0.7571,0.2597,0.0573,103,72,0.888,0.0795,0.7885,0.0092,0.0617,0.0591,0.0695,0.0367,snmpguess,r2l,high,2026-08-08T17:39:30.009406+00:00,synthetic_network_traffic,True
NET-000298,96.66,TCP,dns,SF,16286,47288,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,20,21,0.0642,0.08,0.0213,0.0128,0.7941,0.2955,0.1437,54,77,0.8234,0.19,0.7605,0.0705,0.0428,0.0876,0.011,0.0796,normal,normal,none,2026-08-08T17:39:29.965397+00:00,synthetic_network_traffic,True
NET-001329,85.59,ICMP,smtp,RSTO,6290,67486,0,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,21,12,0.0603,0.0577,0.062,0.0969,0.9122,0.2907,0.0029,140,182,0.9375,0.2821,0.9378,0.2399,0.0739,0.0624,0.0174,0.006,worm,r2l,high,2026-08-08T17:39:30.002403+00:00,synthetic_network_traffic,True
NET-001198,0.9,ICMP,http,RSTO,65406,13824,0,0,0,9,5,0,0,0,0,0,2,0,0,0,0,0,9,28,0.0759,0.0693,0.0153,0.0806,0.7432,0.0102,0.297,100,27,0.9988,0.0894,0.768,0.0544,0.0026,0.003,0.0762,0.0014,guess_passwd,r2l,high,2026-08-08T17:39:29.996404+00:00,synthetic_network_traffic,True
NET-001570,47.74,TCP,ssh,REJ,9705,27958,0,0,0,6,4,0,0,0,0,0,2,0,0,0,0,0,6,42,0.0066,0.096,0.0425,0.0435,0.9982,0.1444,0.0681,40,159,0.9328,0.0009,0.5052,0.2522,0.082,0.0119,0.0307,0.0596,warezmaster,r2l,high,2026-08-08T17:39:30.014405+00:00,synthetic_network_traffic,True
NET-001526,80.94,TCP,dns,RSTO,31131,98045,0,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,25,31,0.051,0.0957,0.0153,0.0463,0.7427,0.248,0.0594,160,93,0.9462,0.1913,0.614,0.2047,0.0994,0.0971,0.0416,0.0813,mailbomb,dos,high,2026-08-08T17:39:30.012405+00:00,synthetic_network_traffic,True
NET-000438,258.59,TCP,dns,SF,31931,44723,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,43,11,0.0712,0.0507,0.0063,0.0415,0.7483,0.1077,0.1201,54,29,0.7624,0.0582,0.5121,0.0082,0.085,0.0202,0.0046,0.0441,normal,normal,none,2026-08-08T17:39:29.969396+00:00,synthetic_network_traffic,True
NET-000052,282.97,TCP,dns,SF,44492,3688,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,70,91,0.0914,0.0783,0.0117,0.0169,0.7407,0.2668,0.2708,235,234,0.721,0.0468,0.9451,0.1035,0.05,0.061,0.069,0.0616,normal,normal,none,2026-08-08T17:39:29.954405+00:00,synthetic_network_traffic,True
NET-000871,90.93,UDP,http,SF,22906,41129,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11,27,0.0577,0.0784,0.022,0.0786,0.8528,0.1586,0.1892,1,195,0.7985,0.2854,0.9682,0.117,0.0202,0.0429,0.0999,0.0597,normal,normal,none,2026-08-08T17:39:29.984404+00:00,synthetic_network_traffic,True
NET-001416,58.7,ICMP,http,REJ,22798,40026,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0,0,3,37,0.0765,0.0035,0.0788,0.0976,0.8291,0.0634,0.1454,95,56,0.8519,0.1327,0.9734,0.146,0.0635,0.0367,0.0739,0.0137,ftp_write,r2l,high,2026-08-08T17:39:30.007406+00:00,synthetic_network_traffic,True
NET-001569,5.41,ICMP,ftp,RSTO,64598,32772,0,0,0,4,5,0,0,0,0,0,0,0,1,0,0,0,9,18,0.0388,0.0501,0.0157,0.0365,0.7371,0.1554,0.1189,173,104,0.8296,0.1568,0.6769,0.1889,0.0264,0.0192,0.0562,0.0087,guess_passwd,r2l,high,2026-08-08T17:39:30.014405+00:00,synthetic_network_traffic,True
NET-000042,60.55,HTTP,http,SF,15231,23802,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,68,28,0.0203,0.0796,0.0599,0.0553,0.8866,0.2826,0.0368,247,104,0.9943,0.1523,0.7298,0.1111,0.0501,0.0284,0.0336,0.0209,normal,normal,none,2026-08-08T17:39:29.954405+00:00,synthetic_network_traffic,True
NET-001115,83.24,ICMP,smtp,REJ,383340,839,0,0,0,20,0,1,0,1,0,0,6,5,1,0,0,0,5,2,0.0769,0.0933,0.057,0.0806,0.9229,0.093,0.0873,239,101,0.8251,0.0689,0.5199,0.0041,0.0508,0.0422,0.0093,0.0219,buffer_overflow,u2r,critical,2026-08-08T17:39:29.993406+00:00,synthetic_network_traffic,True
NET-000242,144.0,UDP,dns,SF,24410,29767,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,96,71,0.0935,0.0287,0.0555,0.005,0.9492,0.2267,0.2174,146,103,0.9023,0.071,0.6073,0.2436,0.0928,0.0489,0.0968,0.055,normal,normal,none,2026-08-08T17:39:29.963396+00:00,synthetic_network_traffic,True
NET-001544,64.7,UDP,imap,RSTR,57321,18706,0,0,0,4,2,0,0,0,0,0,1,0,1,0,0,0,2,36,0.0866,0.0465,0.0069,0.0637,0.8849,0.0604,0.2073,62,190,0.8929,0.2686,0.598,0.2852,0.07,0.0359,0.0452,0.01,ftp_write,r2l,high,2026-08-08T17:39:30.013409+00:00,synthetic_network_traffic,True
NET-000498,220.98,HTTPS,ssh,SF,49457,47299,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,29,36,0.0168,0.0526,0.0329,0.0919,0.9467,0.0015,0.1023,126,1,0.9757,0.1193,0.9887,0.2891,0.0135,0.0794,0.0376,0.0448,normal,normal,none,2026-08-08T17:39:29.971395+00:00,synthetic_network_traffic,True
NET-000161,124.79,UDP,smtp,SF,49338,5285,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,11,15,0.0053,0.0091,0.0945,0.0309,0.928,0.2505,0.0491,230,194,0.8707,0.0052,0.615,0.2202,0.0582,0.0735,0.0754,0.0399,normal,normal,none,2026-08-08T17:39:29.960396+00:00,synthetic_network_traffic,True
NET-000770,289.02,TCP,dns,SF,32929,12495,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,48,47,0.0918,0.0766,0.0034,0.081,0.9326,0.0118,0.1231,240,42,0.7194,0.2014,0.7544,0.0329,0.0948,0.0962,0.0348,0.0459,normal,normal,none,2026-08-08T17:39:29.981405+00:00,synthetic_network_traffic,True
NET-000530,23.39,HTTPS,ssh,S1,23342,36772,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36,30,0.0227,0.0965,0.0847,0.0211,0.8192,0.0324,0.1217,81,162,0.9454,0.1113,0.9328,0.1368,0.0875,0.0078,0.0972,0.0892,normal,normal,none,2026-08-08T17:39:29.973399+00:00,synthetic_network_traffic,True
NET-001640,65.92,ICMP,dns,REJ,49995,41923,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,47,22,0.094,0.0189,0.0851,0.0965,0.9503,0.089,0.2782,131,80,0.7786,0.0824,0.9657,0.0231,0.0189,0.0205,0.0745,0.0955,spy,r2l,high,2026-08-08T17:39:30.017407+00:00,synthetic_network_traffic,True
NET-000203,90.85,HTTP,http,S2,14387,43539,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,48,98,0.0893,0.0343,0.0246,0.0227,0.7464,0.0658,0.1338,229,212,0.9218,0.2364,0.8004,0.154,0.0115,0.0814,0.0188,0.0508,normal,normal,none,2026-08-08T17:39:29.961396+00:00,synthetic_network_traffic,True
NET-001730,30.25,TCP,telnet,RSTR,24495,48550,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,31,5,0.0284,0.0011,0.0228,0.0547,0.8425,0.2226,0.0904,104,166,0.9516,0.1959,0.5028,0.2488,0.015,0.0787,0.0437,0.0942,warezclient,r2l,high,2026-08-08T17:39:30.021407+00:00,synthetic_network_traffic,True
NET-000593,204.94,HTTPS,http,S3,29673,47874,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,84,83,0.0118,0.0812,0.0173,0.026,0.8619,0.0396,0.1725,54,135,0.7078,0.0551,0.5887,0.2809,0.0772,0.0357,0.0615,0.025,normal,normal,none,2026-08-08T17:39:29.975396+00:00,synthetic_network_traffic,True
NET-001071,283.22,HTTP,smtp,SF,39767,42814,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,33,25,0.0516,0.0824,0.0913,0.0045,0.8832,0.2454,0.1188,248,167,0.8668,0.1635,0.6654,0.2824,0.018,0.0055,0.0332,0.0577,normal,normal,none,2026-08-08T17:39:29.991397+00:00,synthetic_network_traffic,True
NET-000190,276.64,UDP,http,SF,39927,33548,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,42,98,0.0659,0.0203,0.0855,0.0333,0.7995,0.2328,0.0544,137,210,0.9642,0.0711,0.8757,0.117,0.0713,0.0904,0.0205,0.0427,normal,normal,none,2026-08-08T17:39:29.961396+00:00,synthetic_network_traffic,True
NET-000078,35.6,HTTPS,ssh,SF,622,8483,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,96,23,0.0118,0.0528,0.0007,0.0699,0.7699,0.1631,0.2051,92,90,0.7396,0.1047,0.6474,0.1471,0.0278,0.0843,0.0122,0.0715,normal,normal,none,2026-08-08T17:39:29.956401+00:00,synthetic_network_traffic,True
NET-001801,63.76,UDP,telnet,S0,47820,19793,0,0,0,6,1,0,0,0,0,0,2,0,1,0,0,0,10,26,0.0296,0.0112,0.0117,0.0053,0.7545,0.2432,0.0449,100,23,0.8965,0.266,0.5863,0.2347,0.002,0.0059,0.0991,0.0514,warezmaster,r2l,high,2026-08-08T17:39:30.026408+00:00,synthetic_network_traffic,True
NET-000239,28.47,UDP,mysql,SF,27836,9068,0,0,0,2,0,1,0,0,0,0,2,0,1,0,0,0,30,6,0.0903,0.0968,0.0288,0.0798,0.8462,0.2429,0.0239,50,63,0.8225,0.1443,0.9434,0.2829,0.0219,0.0071,0.0959,0.0323,normal,normal,none,2026-08-08T17:39:29.963396+00:00,synthetic_network_traffic,True
